,rank,songid,title,artist,like,release_date,genre,lyric
1431,1432,38326187,from.,낯설,404,2024.12.14,"랩/힙합, 인디음악","밀어내서 미안해
내 맘 다 거짓말이야
못난 내 감정 때문에
우린 없어진 거야
비록 끝이 났지만
가끔은 떠올려볼게
I will not forget remember
좋았던 우리의 모습만
사라진 너의 모든
습관을 기억해
보려고 해도
이제 더 떠오르지 않아
가려진 시간을
해 짚어 봐도 똑같아
내 전부를
걸었던 게 후회될 때 말이야
내가 원했었던 건
이런 게 아니란 걸
너가 제일 잘 알잖아
시간을 되돌려도
우린 결국 남이 되잖아
i'm not scaring 멀어져도 무섭지 않아
i don't miss you 더는 너가 절대 그립지 않아
너가 떠난 뒤 난 그 자릴 혼자 남아
매일 널 기다렸잖아 근데 넌 오지 않잖아
내가 바랬었던 건
이게 절대 아니야
너도 같은 마음 아니야?
시간을 되돌려도
우린 그냥 모르는 사이
그렇게 끝내 미안해
내 맘 다 거짓말이야
서툰 내 감정 때문에
우린 사라진 거야
진짜 끝이 났지만
가끔은 떠올려볼게
I will not forget remember
마지막 우리의 모습
i'm not scaring 멀어져도 무섭지 않아
i don't miss you 더는 너가 절대 그립지 않아
너가 떠난 뒤 난 그 자릴 혼자 남아
매일 널 기다렸잖아 근데 넌 오지 않잖아
i'm not scaring 멀어져도 무섭지 않아
i don't miss you 더는 너가 절대 그립지 않아
너가 떠난 뒤 난 그 자릴 혼자 남아
매일 널 기다렸잖아 근데 넌 오지 않잖아
고마웠고, 미안한 게 많아
한땐 너가 날 구했어
잊지 못할 거야
앞으로 날 구해줄
더 좋은 사람이 생겼어
내가 널 싫어해
이제 진짜 안녕"
1432,1433,38054997,똑같지 뭐 (feat. 안재우) (prod. GRIO),립나인 (LIPNINE),589,2024.10.02,"랩/힙합, 인디음악","어느새 
시간이 이렇게 흘렀네
어색하게 묻는 요즘 어때
그렇게 지난 줄도 몰랐는데 
네가 싫어하던 입술을 뜯는 버릇
뒤집힌 채로 사는 밤낮은
아직도 못 고쳤네 난 uh
나만 그때에 멈춰있나 봐
먹고사는 거 그리고 사는 것 빼곤
꽤 비싸진 식사들도
쓰지도 않을 걸 괜히 집에 쌓아둬
아, 난 이제 네가 왔었던 
거기에선 안 살아 
우리 같이 들었던
노래를 불렀던 사람들 형이라고 불러
막막했던 것 들 이제 좀 풀려
무슨 얘기를 하다 여기까지 왔지 
아무튼 그런 거 빼면
난 똑같지 뭐
여전히 음악 속에 살고
예민한 성격도 그대로 그대로
그냥 그렇게 살아
너도 언젠가 나를 잊은 채로
그렇게 지내다 보면 
더 좋은 사람 만날 수 있을 거야
좀 더 정확하게 발음해야 했나 봐
너 아닌 누굴 사랑할 순 없다고
아님 내 목소리가 작아 안 들렸나?
굳이 들을 필요 없어 귀를 닫아줘
똑같겠지 넌 등굣길과
밤새워 하던 그 과제까지
굳이 걱정 안 해 넌 
나 없이도 잘 살 거야
어른스러운 너니까
근데 내 걱정 좀 해줄래
난 아직 버거워서
엉망인 집은 아직 그대로인 것 봐
우리가 말한 그대로 꽤 이뤄냈지만
처음 벌어본 단위의 돈은 가끔 버거워
아직 너였다면
널 안았다면
옆에 있다면
난 자꾸 혼자 ""만약에""만 외쳐 Whoo
아무튼 이런 거 빼면
난 똑같지 뭐
여전히 음악 속에 살고
예민한 성격도 그대로 그대로
그냥 그렇게 살아
너도 언젠가 나를 잊은 채로
그렇게 지내다 보면 
더 좋은 사람 만날 수 있을 거야"
1433,1434,38306623,또 한 계절이 갑니다,한올,481,2024.12.08,"인디음악, 록/메탈","이렇게 또 한 계절이 갑니다
저무는 하늘을 보며
나직이 숨을 뱉어요

별일이 아니었으면 좋겠습니다
우리가 겪게 될 많은 일들이

우우우우우 우우우우우
우린 해답 없는 질문 위에 서서
우우우우우 우우우우우
어디 닿지 못할 물음을 던져보지만

깊은 밤 아직도 깨어있다면
그래서 나를 듣는다면 그댈 위해 기도해
바라요 당신의 밤이 따뜻하길
좋은 꿈을 꿀 수 있기를
편안하기를

우우우우 우우우우
우우우우

우우우우 우우우우
우우우

이렇게 또 한 계절이 갑니다
저무는 하늘을 보며
나직이 숨을 뱉어요

별일이 아니었으면 좋겠습니다
우리가 겪게 될 많은 일들이

우우우우우 우우우우우
피고 지는 저 들꽃처럼 언젠간
우우우우우 우우우우우
추운 계절 지나면 행복해질 수 있나요

깊은 밤 아직도 깨어있다면
그래서 나를 듣는다면 우릴 위해 기도해
바라요 우리의 밤이 따뜻하길
좋은 꿈을 꿀 수 있기를
편안하기를

어느 날에 그대와 나 웃을 수 있을까
여느 날의 우리처럼 그 모습 그대로

우우우우 우우우우
우우우우

우우우우 우우우우"
1434,1435,33229059,마지막으로 (Feat. 강지),이한울,8115,2021.01.24,"랩/힙합, 인디음악","이 끝에 난 서서
널 기다리고 있어
오래 그리워했던
그 표정을 지어줘
이제 뒤는 없어
너의 눈앞이 번져도
마음 바뀌지 않아
이번만 네가 져줘
이번만 괜찮은 척해 줘 내게
거짓말인 걸 알아도 나 믿어볼게
마지막이 아닌 것처럼 나를 안아줄래
그럼 네 품에서 잠시라도 속아볼게
잠시라도 속아볼게
내 웃는 모습 너에게 남길 수 있게
너의 눈 속에 날 담아줄래
그 안이라면 난 허우적대다가
빠져 죽어도 좋아
이런 내 맘이 너에게 닿았다면
무언가 달랐을까 아
이 끝에 난 서서
널 기다리고 있어
오래 그리워했던
그 표정을 지어줘
이제 뒤는 없어
너의 눈앞이 번져도
마음 바뀌지 않아
이번만 네가 져줘
이번만 괜찮은 척해 줘 내게
거짓말인 걸 알아도 나 믿어볼게
마지막이 아닌 것처럼 나를 안아줄래
그럼 네 품에서 잠시라도
이 끝에 난 서서
널 바라보고 있어
네가 참아왔던 말을
내게 해줘
시간이 지나도
후회할 리는 없어
이제라도 좋으니
내게 추억이 되어줘
이런 내 마음이 너에게 닿았다면
잠깐이라도 너의 안에
내 자리가 생길까
난 그저 그게 궁금한 거야
알려줘 너의 마음은 뭐야
혹시라도 나를 떠나가려는 거라면
눈치 보지 않아도 좋아
있잖아 우리 다시
처음으로 갈 수는 없을까
아직도 난 그게 어젯밤 같아
너 없이 잠 못 들걸 알잖아
이 끝에 난 서서
널 기다리고 있어
오래 그리워했던
그 표정을 지어줘
이제 뒤는 없어
너의 눈앞이 번져도
마음 바뀌지 않아
이번만 네가 져줘
이번만 괜찮은 척해 줘 내게
거짓말인 걸 알아도 나 믿어볼게
마지막이 아닌 것처럼 나를 안아줄래
그럼 네 품에서 잠시라도
이 끝에 난 서서
널 기다리고 있어
오래 그리워했던
그 표정을 지어줘
이제 뒤는 없어
너의 눈앞이 번져도
마음 바뀌지 않아
이번만 네가 져줘
이 끝에 난 서서
널 기다리고 있어
오래 그리워했던
그 표정을 지어줘
이제 뒤는 없어
너의 눈앞이 번져도
마음 바뀌지 않아
이번만 네가 져줘
이번만 괜찮은 척해 줘 내게
거짓말인 걸 알아도 나 믿어볼게
마지막이 아닌 것처럼 나를 안아줄래
그럼 네 품에서 잠시라도
속아줄게"
1435,1436,34180031,LETTER,유다빈밴드,3400,2021.10.29,"인디음악, 록/메탈","빛나는 날을 허락해 주세요
시들지 않는 사랑을 주세요
소리 없는 말을 해주세요
날 미친 사람이래도 좋아요
화려하게 장식된 말들은 필요 없어요
그 거짓 사이로 나의 창틀에도 가끔
햇빛이 반짝일 수 있다면
그러니 그대의
빛나는 날을 허락해 주세요
시들지 않는 사랑을 주세요
소리 없는 말을 해주세요
날 미친 사람이래도 좋아요
속이 없는 인사에 외로워질 때가 있어요
그 고요 사이로 나의 창틀에도 가끔
햇빛이 반짝일 수 있다면
그러니 그대의
기나긴 밤을 허락해 주세요
잠들지 않는 사랑을 주세요
소리 없는 말을 해주세요
날 미친 사람이래도 좋아요
라라라 라라라라 라라라라
라라라 라라라라 라라라라
난 멈출 수 없이 노래해요
바보 같은 사람이래도 좋아요"
1436,1437,8284955,잊어야 할 일은 잊어요,브로콜리너마저,19070,2016.07.27,"인디음악, 록/메탈","잊어야 할 일은 잊어요 
아직까지 잠들지 못했나요 
잊어야 할 일은 잊어요  
아직 나는 잘 모르겠어요 
잊지 못할 사랑을 하고  
또 잊지 못할 이별을 하고 
쉽지 않은 마음을 알지만 
그런 사람이 어디 한둘 인가요 
마음대로 되지 않는 걸 
담아둬서 무엇할까요 
잊어야 할 일은 잊고서 
새로운 시간으로 떠날까요 
잊어야 할 일은 잊어요 
아직까지 잠들지 못했나요 
잊어야 할 일은 잊어요  
아직 나는 잘 모르겠어요 
잊어야 할 일은 잊어요 
아직까지 잠들지 못했나요 
잊어야 할 일은 잊어요  
아직 나는 잘 모르겠어요 
잊어야 할 일은 잊어요
아직까지 잠들지 못했나요
잊어야 할 일은 잊어요 
아직 나는 잘 모르겠어요"
1437,1438,5604757,설레 (Feat. 백예린 Of 15&),올티 (Olltii),26012,2015.02.25,"랩/힙합, 인디음악","넌 가까운듯 하면서도 좀 멀어
익숙한듯 하다가도 낯설어
내꺼인 듯 내꺼 아닌 내꺼처럼
헷갈리게 하지만 할 수 없는
썸이란 거론
네가 책 빼먹은 날엔 내가 네 셔틀
잔소리하다 결국 내다 줘 선뜻
너가 부탁을 하려 날 부르면
네 사소한 바람에도 크게 흔들려
남들보다 잘 아는 서로의 취향
지금보다 더 널 알아가고 싶지만
못하는 건 네 애매한 마음이
원인이야
우린 친구 이상 연인 이하
사춘기처럼 내 마음은 나만 알까 봐
더 다가서면은 너가 달아날까 봐
좋은 친구를 놓치고 후회하는 건
겁이 나
근데 널 친구로만 보긴 싫어 더 이상
내가 고집부려도 매일 져주는 너
말은 친구라 하는데
알게 모르게 설레
나름 눈치를 줘도 웃기만 하는 너
나만 이런건지 네 마음도 같은건지
확실하게 말해줘 내게
전화기를 꼭 쥐고 계속 기다리는 톡
마침내 온 네 문자에 관심 없는 척
답장해도 내 답은 객관식 아닌
주관식
막 찍지 않아 고민하며 한 문장씩
넌 나에 대해 깜지를 가득 채울 수
있겠지
정작 내 머린 너만 생각하면
백지가 되지
그곳에다 새로 써보는 자소서
친구가 아닌 한 명의 남자로서
너의 옆에 붙어있기만 해도 붕 떠
친구였던 너에게 어느 순간부터
깊게 빠져들었어 단번에
바다 같은 네 마음에 내 마음도 동해
하루종일 아른거려 너가 내게
주입되어버린 곳은 머리 아닌 마음
이제 네 연애방정식을 내게 대입해
그 결과값은 항상 거짓 아닌 참
내가 고집부려도 매일 져주는 너
말은 친구라 하는데
알게 모르게 설레
나름 눈치를 줘도 웃기만 하는 너
나만 이런건지 네 마음도 같은건지
확실하게 말해줘 내게
밀고 당겨 우리 사인 애매모호
지금 이 간격
너의 마음 때문에 너무 헷갈려
친구라고 생각하기엔 친근함보다
설렘에 더 가깝기에
망설이지 말고 지금 내 손을 잡아줘
너가 먼저 한 발짝만 다가와 줘
다시 말해
이제는 모른 체할 때가 아닌
보여줄 때 그래도 쑥스러울 듯해
내가 고집부려도 매일 져주는 너
말은 친구라 하는데
알게 모르게 설레
나름 눈치를 줘도 웃기만 하는 너
나만 이런건지 네 마음도 같은건지
확실하게 말해줘 내게
자꾸만 설레 널 바라볼 때
웃는 네 모습에도 숨이 차 헤벌레
자꾸만 설레 네 옆에 설 때
손끝이 스치면 흠칫 난 놀래
자꾸만 설레 혼자 쩔쩔매
진짜 내가 고백이라도 하면 어쩔래
자꾸만 설레 기다려볼래
근데 넌 언제쯤 다가올래"
1438,1439,33656572,실수 (Feat. Skinny Brown),Cloudybay (클라우디베이),5154,2021.07.07,"랩/힙합, 인디음악","우린 바다같고 우린 너무 깊어서
숨을 너무나 참았어 어서
너라도 여기를 벗어나서
해가 드는 밖은
너를 기다려줄테니 안겨
내가 떠밀어대도 넌 버텨
새 빨개진 눈가를 보면
Fosho 우린 알았네
넌 널 위해 가야돼
영원하지 못하게
Babe Bye
안녕 사랑
또 나 살 수 있다면
넌 내 지구반대편
넌 더 행복을 느껴
줄께 뻔하지 난 원해
아무리 봐도 난 애야
네게서 못벗어나와 또 난
너가 내 끝이라 착각
도망쳤지만
아무리 봐도 넌 달라
너도 날 끝이라 했지만
우리 미쳤지 그 착각
Oh 나의 실수야
I was wrong I was laced
I was drunk
바다 같았던 풀장에 잠겨
허우적 대고 있었어 반쯤
정신을 깨고 나니 u were gone
baby I swear 다른 남자들은 clone
똑같은 방법으로 blow yo phone
너도 알잖니 I'm good at A joke
baby I'm talkin to you
on payphone
my mistake
너를 벗어나게 해주고 싶었어
나란 5평짜리 원룸 방안에서
창문도 없는 여기는 어둡다고
it's my fault it was my fault
지금도 날 봐 자책하고만 있잖어
너는 말해 너 하나만 믿으라고
빛은 못 줘도 창문이 되준다고
okay I'll call you okay
I'll call
아무리 봐도 난 애야
네게서 못벗어나와 또 난
너가 내 끝이라 착각
도망쳤지만
아무리 봐도 넌 달라
너도 날 끝이라 했지만
우리 미쳤지 그 착각
Oh 나의 실수야
아무리 봐도 난 애야
네게서 못벗어나와 또 난
너가 내 끝이라 착각
도망쳤지만
아무리 봐도 넌 달라
너도 날 끝이라 했지만
우리 미쳤지 그 착각
Oh 나의 실수야"
1439,1440,37465261,술래잡기 (feat. Rovv),Brick (브릭),101,2024.04.30,"R&B/Soul, 인디음악","baby 날 더는 밀어내지 말아
그래 이제는 더는 뒤로 숨지 말아
step on me 날 가만 냅두지 말아
good morning 널 깨우려는 calling
술래잡기 술래잡기 술래잡기
넌 어느 곳에 숨을 건지
술래잡기 넌 그림 같지 넌 그림같이
내가 만질 수 없는 걸 uh
넌 멀리 도망가 버리려
거리 둘 때
난 속히 따라가 발걸음
맞춰주네
잠깐만 just one more thing
이제는 그만 간 볼 때
show me
난 몇 번 말했잖아 show me
show me 아무 생각도 안 해 난 고민
너와 난 불협화음 같은 건 없어
또 물어봐도 너의 뒤만 쫓아가는 걸
baby 날 더는 밀어내지 말아
그래 이제는 더는 뒤로 숨지 말아
step on me 날 가만 냅두지 말아
good morning 널 깨우려는 calling
술래잡기 술래잡기 술래잡기
넌 어느 곳에 숨을 건지
술래잡기 넌 그림 같지 넌 그림같이
내가 만질 수 없는 걸 uh
(It’s your Rovv yeah)
I don’t play 술래잡기
이제는 그리 순해 빠진
놈은 졸업했고
ready 없이 set go
아래 내려가지 배꼽
끈적이는 네 눈빛이 닿았네
없어도 예뻐 넌 헤드메
울리는 wedding song
You wanna get more more
Sounds like a Metronome
술래잡기는 no no
눈을 가려 넌
(Um um um-)
Yeah you gonna crawl crawl 
Do it once more yeah
있는 힘껏 안아줘
모든 걸 잊을 수 있게
baby 날 더는 밀어내지 말아
그래 이제는 더는 뒤로 숨지 말아
step on me 날 가만 냅두지 말아
good morning 널 깨우려는 calling
술래잡기 술래잡기 술래잡기
넌 어느 곳에 숨을 건지
술래잡기 넌 그림 같지 넌 그림같이
내가 만질 수 없는 걸 uh"
1440,1441,8077004,취기를 빌려 (Album Ver.) (Vocal 이민혁),새봄 (saevom),10146,2016.03.04,"인디음악, 포크/블루스","언제부턴가 불쑥
내 습관이 돼버린 너
혹시나 이런 맘이
어쩌면 부담일까
널 주저했어
언제부턴가 점점
내 하루에 스며든 너
아침을 깨우는 네 생각에
어느샌가 거리엔
어둠이 젖어 들고
취기를 빌려 오늘
너에게 고백할거야
하루하루 네가 좋다고
괜히 어색할까 혼자 애만 태우다
끝끝내 망설여왔던 순간
알잖아 나
무뚝뚝하고 말도 없는걸
서툰 표현이 쑥스러워서 괜히 
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만
언제부턴가 가끔 너와
마주칠 때마다
한참을 머뭇거린
어설픈 손 인사만
오늘 밤도 후회로 잦아들고
취기를 빌려 오늘
너에게 고백할 거야
하루하루 보고 싶다고
괜히 어색할까 혼자 애만 태우다
수없이 연습해왔던 그 말
알잖아 나 무뚝뚝하고
말도 없는걸
서툰 표현이 쑥스러워서 괜히
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만
첫눈을 빌려
오늘은 꼭 고백할거야
작은 너를 품에 안고서
눈을 마주하고
너무 사랑한다고
함께 하고 싶다고"
1441,1442,36660699,여름이었다 (Feat. 도규),이범준,2625,2023.07.29,"랩/힙합, 인디음악","불어오는 바람 파랗게 물든 사이로
걱정 없이 서로만 바라보던 나이
널 데리러 가던 여름밤이 다가와
단 한 걸음만
내게 더 다가와 주길
나도 널 안으러 갈 테니
우린 여름이었다
아무리 네 생각을 지워도
하루가 다시 나아지지 않는 걸 알아
재밌다는 영화를 봐도
너란 사람을 덮을 수 없단 걸 알아
홀로 겨눠봤던 우리의 미래
작은 장면까지 다
어차피 우린 너무
불안한 사이잖아
우린 이제 서로 미련 없이 떠나
나의 존재는 너에게 짐만 되니까
라며 말을 꺼내보기엔 나는 꽤나 멀리 왔어
그래서, 다시 너를 기다려
불어오는 바람 파랗게 물든 사이로
걱정 없이 서로만 바라보던 나이
널 데리러 가던 여름밤이 다가와
단 한 걸음만
내게 더 다가와 주길
나도 널 안으러 갈 테니
우린 여름이었다
나는 어려웠었다
우린 없었다
바람에 날려 막
스쳐 지나갔었다
살포시 너에게
마음을 주려 할 때
너, 내 마음을 훔쳐 갔었고
떠나가는 것도
네 마음이겠지
내가 외로이
홀로 있을 때 나를 안아줬으니
나,여름이 다가올 때면
추억으로 덮어버릴게요
어떤 날은 그냥 막 웃고 싶어
슬피 우는 아이는 어제 그만
나는 왜 이리도 슬퍼해야 하냔 물음에
""그냥 미안하잖아""
우린 그때가 마지막이었다
불어오는 바람 파랗게 물든 사이로
걱정 없이 서로만 바라보던 나이
널 데리러 가던 여름밤이 다가와
단 한 걸음만
내게 더 다가와 주길
나도 널 안으러 갈 테니
우린 여름이었다
내가 널 한 번이라도 더 안았더라면
내가 널 한 번이라도 더 만났더라면
그 시절 시간 속에 갇힌
사진 몇 장만이 남긴
여전히 우린 여름이었다"
1442,1443,2013878,사랑은 봄비처럼...이별은 겨울비처럼,임현정,5178,2003.03.25,"인디음악, 록/메탈","묻지않을께 네가 떠나는 이유
이제 사랑하지 않는다는걸 알기에
야윈 너의 맘 어디에도 
내 사랑 머물 수 없음을 알기에
이해해볼께 혼자남겨진 이유
이젠 나의 눈물 닦아줄 너는 없기에
지금 나의 곁에 있는건
그림자 뿐임을 난 알기에
사랑은 봄비처럼 내 마음 적시고
지울 수 없는 추억을 내게 남기고
이제 잊으라는 그 한마디로
나와 상관없는 다른 꿈을 꾸고
이별은 겨울비처럼 두 눈을 적시고
지울 수 없는 상처만 내게 남기고
이제 떠난다는 그 한마디로
나와 상관없는 행복을 꿈꾸는 너

기도 해볼께 니가 잊혀지기를 
슬픈사랑이 다신 내게 오지 않기를
세월 가는데로 그대로 
무뎌진 가슴만 남아있기를
왜 행복한 순간도 사랑의 고백도
날 설레게한 그 향기도
왜 머물순 없는지 떠나야 하는지 
무너져야 하는지
사랑은 봄비처럼 내 마음 적시고
지울 수 없는 추억을 내게 남기고
잊으라는 그 한마디로
나와 상관없는 다른 꿈을 꾸고
이별은 겨울비 처럼 두 눈을 적시고
지울 수 없는 상처만 내게 남기고
떠난다는 그 한마디로 
나와 상관 없는 행복을 꿈꾸는 너"
1443,1444,36964573,너를 보낸다,Kid Wine,2300,2023.11.15,"발라드, 인디음악","사랑이란 것도 이젠 over
전부 다 잊혀져가고
넌 벌써 나를 잊었겠지만
넌 다시 또 떠오르고

이별이란 문턱 앞에서
깊게 떨려오는 한숨을 내쉬며
oh
너는 내게 없는데

절대로 쓰러지면 안 돼
내 마지막 힘을 잃지 않게
네가 떠난대도 슬프지 않게
good bye, good bye
good bye, good bye

사랑이란 것도 이젠 over
점점 더 사라져가고
넌 어떻게 웃을 수 있는지
난 먹지도 못하는데

네 행복을 위해서라면
내가 너를 떠나는 게 좋은 일인데
oh
그건 너무 아픈데

절대로 쓰러지면 안 돼
내 마지막 힘을 잃지 않게
네가 떠난대도 슬프지 않게
good bye, good bye
good bye, good bye

절대로 쓰러지면 안 돼
내 마지막 힘을 잃지 않게
네가 떠난대도 슬프지 않게
good bye, good bye
good bye, good bye"
1444,1445,38444847,Unhappy (feat. M NAIVE),AVOKID (에이보키드),81,2025.01.12,"R&B/Soul, 인디음악","Hey Jae
Is your everything okay?
Are you strugglin' with regret?
For what you’ve lost and your mistakes

Hey Jae
You don’t have to be okay
Yeah, it tore you halfway
But don’t beat yourself up
No

Nobody’s fault, as it turns out
But why do tears fall, fall every night?

Unhappy
Why does everybody leave me?

I’m so lonely
Is it caused by myself?

Someone help me
Inside, my mind is screaming

But I tell’em

That I’m fine

I know I’m lying

Nobody, nobody’s fault
But why do, why do my tears fall every night?
I cry in my heart

No texts, no calls
Slow waltz on the floor

I’m mad driving, mad running

Cuz I wanna forget
All that we said

I know it’s the last tie, of all the last times

Can’t keep this pain any longer

This spark can’t turn into fire

I wish you best, I wish you well
I wish me best, I wish me
That I’ll be letting, letting, letting go

It’s nobody’s fault

I’ll be letting go

I’ll be letting go

Unhappy
Why does everybody leave me?

I’m so lonely

Is it caused by myself?

Someone help me
Inside, my mind is screaming

But I tell’em

That I’m fine

I know I’m lying

Nobody body, nobody’s fault
But why do, why do my tears fall every night?
I cry in my heart

Everybody asks me how
I could write it, write all this sad shit like
Da ri ra ri la la

I’m caught up in the drama

Nobody, nobody’s fault
But why do, why do my tears fall every night?
I cry in my heart

Everybody asks me how
I could write it, write all this sad shit like
Da ri ra ri la la

I’m caught up in the drama"
1445,1446,2613350,강아지,검정치마,9143,2010.03.18,"인디음악, 록/메탈",None
1446,1447,30715016,섬그늘,문웅주,6342,2017.11.08,"인디음악, 록/메탈","자고 일어나도 아직 아직이야
우리 집으로 돌아가는 길
저기 저 멀리에 켜진 가로등엔
누가 지나다닐까
나는 섬 그늘에 와있네
아빠의 아빠가 
아빠를 잡으러 온 거기에
슬피 우는 아기는 
어른이 돼버렸어요
이제 반대편에 내가 와버렸어요
잠에 깨어나도 아직 새벽이야
아침은 나를 싫어하고
어두운 방 안 내 베개는 왜
바다 내음이 날까
나는 섬 그늘에 와있네
아무도 보내지 않으려 한 거기에
슬피 우는 아기는 
어른이 돼버렸어요
이제 반대편에 내가 와버렸어요
할아버지의 손가락은 
나는 알 수가 없고
아빠가 부른 노래들은 
나는 부를 수 없죠
엄마가 거닌 섬 그늘은 
나는 볼 수가 없고
아빠가 부른 노래들은 
나는 부를 수 없죠"
1447,1448,38448142,"잔향 (Feat. COOMO, 김시우(Siwoo), 강권희)",ByssBlue,72,2025.01.14,"R&B/Soul, 인디음악","커튼 새로 달빛의 소음이 좀 거슬려서
나도 몰래 숨겨온 기억을 꺼내
희미해져버린 기억
그 사이 맴도는 향이
날 이렇게나 잠 못 들게 해

누구는 경험했을 온기
차갑게 뻗어오는 미디어의 손길
내겐 아무래도 시답잖은
그런 사랑 얘기

경계의 시작점을 지나
우린 시작조차 하지 않았지, 나
사실 죽은 거나 다름없어
그때 그 자리에

깊게 뱉은 말의 향이 너무 짙어서
오랜 날이 흘러도 지워지지 않아
몰래 삼킨 말의 깊인 너무 깊어서
오랜 날이 흘러도 떠오르지 않아


너는 알고 있잖아
그 말에 담긴 무게를
이렇게 내게 두곤 어디 간 거야

가라앉을 뿐이야
네 말에 발이 묶인 채
떠오를 수도 없이 유영한 거야

지날수록 진해지는 말의 향과
진할수록 지내지는 나의 하루
이미 내게 남은 것은 네께 아니야

흐를수록 흐려지는 감정 위로
흐릴수록 흘러오는 향의 파도
이미 우린 시작도 전에 끝난 거야

깊게 뱉은 말의 향이 너무 짙어서
오랜 날이 흘러도 지워지지 않아
몰래 삼킨 말의 깊인 너무 깊어서
오랜 날이 흘러도 떠오르지 않아

그러나, 또 그런 날
더 밑으로 삼킨 말이 잠긴 저 밑까지
내려가, 또 잠겨가
더 밑으로 붙잡을 게 없는 저 밑까지"
1448,1449,37062953,그게 사랑 일거야,정예원 (YEWON),471,2023.12.15,"발라드, 인디음악","까만 밤에 하얀 점이 
떨어지는 그게 사랑일 거야
금방 녹아 없어지겠지만
아침 창문 밖은 사랑일 거야
저기 하늘을 봐요

하얀 눈이 와요 
그댈 향한 마음보다는 쉽게 녹겠지만 whoo
하얀 눈이 와도 
잡은 손을 놓지 않으면 
그대와 나의 밤은 
선물일 거야 woo whoo woo whoo woo
사랑일 거야 woo whoo woo whoo woo

새벽 아래 너와 내가
만든 밤이 우리 사랑일 거야
금방 녹아 없어지겠지만
우리 자국만 남아서

하얀 눈이 와요
그댈 향한 마음보다는 쉽게 녹겠지만 whoo
하얀 눈이 와도 
잡은 손을 놓지 않으면
그대와 나의 밤은 선물일걸

따뜻한 차도
타오른 난로
텅 빈 식탁도
우리 사랑일 거야
너의 꿈들도
나의 겨울이 되어
눈꽃이 내려와

하얀 눈이 와요
그댈 향한 마음보다는 쉽게 녹겠지만 whoo
하얀 눈이 와도 
잡은 손을 놓지 않으면
우리의 겨울밤은
선물일 거야 woo whoo woo whoo woo
사랑일 거야 woo whoo woo whoo woo
저기 하늘을 봐요"
1449,1450,37997501,더는 사랑한다는 말로는,윤원,502,2024.09.18,"발라드, 인디음악","오늘은 우리가 이별하는 날야
너에게 할 말을 
밤새 정리했었는데 
막상 얼굴 보고 있으니 
말이 안 떨어져서
한참을 말없이 있다
이렇게 끝이 나고 있나 봐
더는 사랑해 사랑해라는 말론
떠나려는 너를 붙잡기엔 내가
늦어버린 건가 봐 안되는 건가 봐
결국 우리 이별하니
그래도 그래도 어쩌겠어
너 아니면 안 될 것만 같은 난데
너와 헤어지는 건 못하겠어 난 정말
막상 얼굴 보고 있으니 
말이 안 떨어져서
한참을 말없이 있다 
이렇게 끝이 나고 있나 봐
더는 사랑해 사랑해라는 말론
떠나려는 너를 붙잡기엔 내가
늦어버린 건가 봐 안되는 건가 봐
결국 우리 이별하니
그래도 그래도 어쩌겠어
너 아니면 안 될 것만 같은 난데
너와 헤어지는 건 못하겠어 난 정말
내게로 다시 돌아온다고 말해주면
지금 당장 너에게로 나는 달려갈 거야
더는 사랑해 사랑해라는 말론
떠나려는 너를 붙잡기엔 내가
늦어버린 건가 봐 안되는 건가 봐
결국 우리 이별하니
그래도 그래도 어쩌겠어
너 아니면 안 될 것만 같은 난데
너와 헤어지는 건 못하겠어 난 정말
못 잊겠어 널 정말"
1450,1451,32115920,지친 마음,알레프 (ALEPH),4876,2019.10.23,"인디음악, 록/메탈","나보다 먼저 무너지지 말아요
그렇다고 무뎌지면 안돼요
내가 힘들 때 언제든 기댈 수 있게
민들레가 되어줘요
멀리 생각할 여유가 없어요
어린 맘은 쉽게 눈 감지 못해서
어른이 담근 술을 마셔야 해
이런 나는 숨 죽여야만 해서
그저 그런 사람이 되나 봐요
이런 나의 모습이 싫어질 지 몰라요
미련 남은 꿈들이 닳아 
없어질지도 몰라서 말해요
나 혼자 눈물 흘리게 하지 마요
꽃 피우지도 못했어요
아름다운 걸 내게 알려줘요
꼭 한번 부탁해요
내가 망설이는 이유를 아나요
큰 말썽부린 적도 없는데
나를 착하다고 말하는 저 사람들에게
나는 나약할 뿐인 걸요
이런 나의 모습이 싫어질 지 몰라요
미련 남은 꿈들이 닳아 
없어질지도 몰라서 말해요
나 혼자 눈물 흘리게 하지 마요
꽃 피우지도 못했어요
아름다운 걸 내게 알려줘요
꼭 한번 부탁해요
나보다 먼저 무너지지 말아요
그렇다고 무뎌지면 안돼요
내가 힘들 때 언제든 기댈 수 있게
민들레가 되어줘요"
